Symbol
RELIANCE.NS
TCS.NS
INFY.NS
HDFCBANK.NS
ICICIBANK.NS
SBIN.NS
AXISBANK.NS
KOTAKBANK.NS
HDFC.NS
LT.NS
ITC.NS
ONGC.NS
POWERGRID.NS
NTPC.NS
TATAMOTORS.NS
TATASTEEL.NS
JSWSTEEL.NS
ADANIENT.NS
ADANIPORTS.NS
BAJAJ-AUTO.NS
BAJFINANCE.NS
BAJAJFINSV.NS
SUNPHARMA.NS
CIPLA.NS
DRREDDY.NS
WIPRO.NS
TECHM.NS
ULTRACEMCO.NS
ASIANPAINT.NS
NESTLEIND.NS
MARUTI.NS
HINDUNILVR.NS
COALINDIA.NS
BPCL.NS
BHARTIARTL.NS
HCLTECH.NS
DIVISLAB.NS
HEROMOTOCO.NS
EICHERMOT.NS
SHREECEM.NS
UPL.NS
M&M.NS
GRASIM.NS
BRITANNIA.NS
INDUSINDBK.NS
TITAN.NS
HDFCLIFE.NS
ICICIPRULI.NS
SBILIFE.NS
PEL.NS
GC=F
SI=F
HG=F
ZNC=F
NG=F
